id;ten_bap_nuoc;logo;logo_content_type;gia_tien
1;knowledgeably;../fake-data/blob/hipster.png;image/png;25125
2;exhume;../fake-data/blob/hipster.png;image/png;7862
3;hmph;../fake-data/blob/hipster.png;image/png;5135
4;kludge blissful;../fake-data/blob/hipster.png;image/png;17029
5;furthermore;../fake-data/blob/hipster.png;image/png;27682
6;excepting obediently other;../fake-data/blob/hipster.png;image/png;31586
7;ancient;../fake-data/blob/hipster.png;image/png;27209
8;briskly known;../fake-data/blob/hipster.png;image/png;20000
9;bah whoever;../fake-data/blob/hipster.png;image/png;3980
10;generously ugh often;../fake-data/blob/hipster.png;image/png;12910
