id;ten_cum_rap;logo;logo_content_type
1;endeavor upon hmph;../fake-data/blob/hipster.png;image/png
2;including zowie;../fake-data/blob/hipster.png;image/png
3;considering;../fake-data/blob/hipster.png;image/png
4;inasmuch knowledgeably;../fake-data/blob/hipster.png;image/png
5;how against lest;../fake-data/blob/hipster.png;image/png
6;yum;../fake-data/blob/hipster.png;image/png
7;amidst dad inferior;../fake-data/blob/hipster.png;image/png
8;hence wherever famously;../fake-data/blob/hipster.png;image/png
9;yowza via soggy;../fake-data/blob/hipster.png;image/png
10;anti allege;../fake-data/blob/hipster.png;image/png
