id;ten_phim;thoi_luong;gioi_thieu;ngay_cong_chieu;link_trailer;logo;logo_content_type;do_tuoi;the_loai;dinh_dang
1;without pfft fooey;23003;crime;2025-05-13;er yearningly murky;../fake-data/blob/hipster.png;image/png;huzzah whereas;KINH_DI;rigidly
2;whoa amongst;12359;wherever boohoo;2025-05-14;unless dear honestly;../fake-data/blob/hipster.png;image/png;algorithm sentimental;HAI;even
3;adult gosh;3129;seriously;2025-05-13;needily;../fake-data/blob/hipster.png;image/png;in unless;KINH_DI;perplex
4;against toward traumatic;19883;pish amid as;2025-05-13;gee;../fake-data/blob/hipster.png;image/png;yuck parch even;KINH_DI;always
5;disloyal implore;21419;vegetarianism regularly;2025-05-13;townhouse;../fake-data/blob/hipster.png;image/png;mmm woot;TAM_LY;even uh-huh indeed
6;boldly inasmuch;15088;after energetic;2025-05-14;apud spruce what;../fake-data/blob/hipster.png;image/png;ouch;TAM_LY;trifling
7;arctic even chivvy;29813;swift drat;2025-05-13;speedy;../fake-data/blob/hipster.png;image/png;bagpipe;HAI;yippee trim
8;weakly;28713;trusting unethically normal;2025-05-14;stinger;../fake-data/blob/hipster.png;image/png;up fondly;KINH_DI;yum harrumph
9;gosh boo;31504;unhinge verbally klutzy;2025-05-13;extremely heighten plus;../fake-data/blob/hipster.png;image/png;furthermore;HAI;underneath
10;or embroider pfft;31439;ensconce forenenst;2025-05-13;vice unexpectedly;../fake-data/blob/hipster.png;image/png;afore until divan;TAM_LY;silly stealthily tensely
